iter	Passed	Remaining
294	10231	7665
295	10247	7616
296	10280	7580
297	10315	7546
298	10349	7511
299	10387	7478
300	10424	7446
301	10461	7412
302	10492	7375
303	10525	7340
304	10558	7304
305	10590	7267
306	10626	7234
307	10657	7197
308	10690	7161
309	10728	7129
310	10763	7094
311	10800	7061
312	10838	7029
313	10871	6993
314	10906	6959
315	10939	6923
316	10973	6888
317	11009	6855
318	11045	6821
319	11071	6781
320	11090	6737
321	11126	6703
322	11164	6670
323	11203	6639
324	11238	6604
325	11272	6570
326	11307	6535
327	11341	6500
328	11374	6465
329	11411	6431
330	11442	6395
331	11461	6352
332	11497	6318
333	11529	6282
334	11564	6248
335	11602	6215
336	11636	6180
337	11672	6147
338	11707	6112
339	11741	6077
340	11776	6043
341	11814	6010
342	11847	5975
343	11883	5941
344	11918	5907
345	11953	5872
346	11987	5838
347	12025	5805
348	12057	5769
349	12094	5736
350	12127	5700
351	12158	5664
352	12195	5631
353	12229	5596
354	12262	5561
355	12299	5527
356	12339	5495
357	12376	5462
358	12412	5428
359	12446	5393
360	12483	5360
361	12520	5326
362	12554	5291
363	12587	5256
364	12622	5222
365	12658	5187
366	12690	5152
367	12725	5117
368	12760	5083
369	12795	5049
370	12832	5015
371	12864	4979
372	12898	4944
373	12933	4910
374	12969	4876
375	13002	4841
376	13034	4805
377	13069	4771
378	13101	4735
379	13136	4701
380	13170	4666
381	13207	4632
382	13244	4599
383	13278	4564
384	13312	4529
385	13326	4488
386	13359	4453
387	13391	4417
388	13430	4384
389	13466	4350
390	13499	4315
391	13534	4281
392	13559	4243
393	13594	4209
394	13632	4175
395	13666	4141
396	13699	4106
397	13734	4071
398	13772	4038
399	13801	4002
400	13831	3966
401	13864	3931
402	13901	3898
403	13936	3863
404	13969	3828
405	14007	3795
406	14032	3758
407	14065	3723
408	14099	3688
409	14132	3653
410	14168	3619
411	14202	3585
412	14240	3551
413	14274	3516
414	14307	3482
415	14344	3448
416	14379	3413
417	14419	3380
418	14454	3346
419	14488	3311
420	14522	3277
421	14558	3242
422	14593	3208
423	14630	3174
424	14665	3140
425	14699	3105
426	14730	3070
427	14767	3036
428	14804	3002
429	14838	2967
430	14872	2933
431	14908	2898
432	14942	2864
433	14976	2829
434	15012	2795
435	15048	2761
436	15084	2726
437	15108	2690
438	15141	2655
439	15177	2621
440	15214	2587
441	15247	2552
442	15284	2518
443	15321	2484
444	15357	2450
445	15384	2414
446	15420	2380
447	15454	2345
448	15491	2311
449	15522	2276
450	15556	2242
451	15591	2207
452	15627	2173
453	15664	2139
454	15701	2105
455	15735	2070
456	15753	2033
457	15787	1999
458	15822	1964
459	15840	1928
460	15877	1894
461	15914	1860
462	15948	1825
463	15983	1791
464	16024	1757
465	16057	1722
466	16092	1688
467	16113	1652
468	16145	1618
469	16181	1583
470	16216	1549
471	16256	1515
472	16292	1481
473	16329	1446
474	16362	1412
475	16401	1378
476	16436	1343
477	16472	1309
478	16499	1274
479	16536	1240
480	16573	1205
481	16608	1171
482	16640	1136
483	16674	1102
484	16704	1067
485	16738	1033
486	16773	998
487	16809	964
488	16843	930
489	16878	895
490	16913	861
491	16946	826
492	16979	792
493	17017	757
494	17053	723
495	17088	689
496	17119	654
497	17143	619
498	17176	585
499	17208	550
500	17245	516
501	17277	481
502	17312	447
503	17343	412
504	17380	378
505	17418	344
506	17451	309
507	17485	275
508	17520	240
509	17557	206
510	17594	172
511	17625	137
512	17657	103
513	17691	68
514	17724	34
515	17761	0
